Portfolio,Open,High,Low,Close,Adj Close,Volume
Bitcoin,430061005,434516998,429084015,433091003,433091003,38477500
Bitcoin,433069000,434182007,429675995,431959991,431959991,34522600
Bitcoin,431855988,431855988,426341003,429105011,429105011,34042500
Bitcoin,430010986,458765991,429076996,458048004,458048004,87562200
Bitcoin,457537994,462933990,447937988,453230011,453230011,56993000
Bitcoin,448697998,450661987,443855011,448428009,448428009,40450000
Bitcoin,448182007,448182007,435690002,435690002,435690002,115607000
Bitcoin,434665009,435186005,424442993,432371002,432371002,173888000
Bitcoin,432287994,433324005,427845001,430306000,430306000,43945500
Bitcoin,430255005,430255005,364330994,364330994,364330994,153351008
Bitcoin,381733002,388104004,376665009,387167999,387167999,54403900
Bitcoin,387026001,387730011,378971985,380148987,380148987,46819800
Bitcoin,379739990,425266998,376598999,420230011,420230011,121720000
Bitcoin,419631989,422877014,406299988,410261993,410261993,68338000
Bitcoin,409751007,410410004,375282013,382492004,382492004,91546600
Bitcoin,402316986,402316986,388553986,391726013,391726013,59062400
Bitcoin,392002014,397765991,390575012,392153015,392153015,58147000
Bitcoin,392444000,396842987,391782013,394971985,394971985,47424400
Bitcoin,395145996,395502014,379734985,380289001,380289001,59247900
Bitcoin,380108002,384378998,365451996,379473999,379473999,86125296
Bitcoin,369350006,378071991,367957001,373056000,373056000,51656700
Bitcoin,372920013,375882996,372920013,374447998,374447998,40378700
Bitcoin,374645996,374950012,368045013,369949005,369949005,45933400
Bitcoin,370174011,391608002,369993011,389593994,389593994,69285504
Bitcoin,388898010,391093994,385571991,386549011,386549011,43825000
Bitcoin,376756989,379878998,373334015,373446991,373446991,47671100
Bitcoin,373423004,377246002,372898010,376028992,376028992,55318500
Bitcoin,376145996,385483002,375782990,381648987,381648987,85130896
Bitcoin,382114014,383130005,376398987,379653992,379653992,74375600
Bitcoin,379686005,384954010,379600006,384263000,384263000,67042800
Bitcoin,407567993,410381012,397748993,400184998,400184998,74070496
Bitcoin,401432007,408945007,401432007,407488007,407488007,73093104
Bitcoin,407656006,421166992,406783997,416321991,416321991,83193600
Bitcoin,416571991,425996002,415638000,422372986,422372986,76752600
Bitcoin,422730011,423104004,417604004,420785004,420785004,55711300
Bitcoin,438989014,439045013,432916992,437747986,437747986,85385200
Bitcoin,438255005,439858002,417821014,420735992,420735992,85244896
Bitcoin,420955994,425549988,413907013,424954987,424954987,67743696
Bitcoin,425036987,427718994,420415009,424544006,424544006,70798000
Bitcoin,424628998,432152008,421619995,432152008,432152008,61486000
Bitcoin,433437988,441506989,431692993,437696991,437696991,60694700
Bitcoin,437916992,439653015,432319000,435122986,435122986,74895800
Bitcoin,435131012,435916992,423989014,423989014,423989014,74955296
Bitcoin,423911987,425372986,419411011,421651001,421651001,100484000
Bitcoin,421835999,425178009,410938995,410938995,410938995,90856096
Bitcoin,407756989,415916992,406308990,414321014,414321014,85762400
Bitcoin,414464996,416243011,411093994,413971985,413971985,70311696
Bitcoin,413894012,416032013,411605988,414859985,414859985,70012304
Bitcoin,414743988,417511993,413251007,417131012,417131012,81022896
Bitcoin,417238007,423925995,417013000,421690002,421690002,73969696
